	WT_R1	WT_R2	mutant_R1	mutant_R2
WBGene00019043	18.4650186652243	9.69224992068827	6.97099474047343	1.27610052119794
WBGene00019044	170.616772466673	193.099440727559	16.7303873771362	11.4849046907815
WBGene00019045	4.43160447965384	5.21890380344753	1.39419894809469	2.55220104239589
WBGene00018442	32.4984328507948	29.0767497620648	18.1245863252309	20.4176083391671
WBGene00018441	4.43160447965384	0.74555768620679	2.78839789618937	0
WBGene00018440	0	0	0	0
WBGene00018439	203.853806064077	211.738382882728	9.7593926366628	14.0371057331774
WBGene00018443	22.8966231448782	23.8578459586173	9.7593926366628	38.2830156359383
WBGene00018438	8.12460821269871	11.1833652931019	4.18259684428406	7.65660312718767
WBGene00018444	2.21580223982692	2.98223074482716	2.78839789618937	0
WBGene00018445	0.738600746608973	0	1.39419894809469	1.27610052119794
WBGene00018437	16.9878171720064	5.96446148965432	6.97099474047343	3.82830156359383
WBGene00018436	29.5440298643589	27.5856343896512	5.57679579237874	3.82830156359383
WBGene00018435	0	0.74555768620679	1.39419894809469	1.27610052119794
WBGene00018434	0	0	0	1.27610052119794
WBGene00018433	99.7111007922114	98.4136145792963	6.97099474047343	7.65660312718767
WBGene00018446	14.0334141855705	15.6567114103426	15.3361884290415	21.6937088603651
WBGene00018447	0	0	0	0
WBGene00018432	0	0.74555768620679	1.39419894809469	0
WBGene00019502	0	0	0	0
WBGene00206518	0	0	0	0
WBGene00018105	0	0	0	0
WBGene00006223	0.738600746608973	0	2.78839789618937	2.55220104239589
WBGene00206519	5.90880597287179	5.96446148965432	4.18259684428406	5.10440208479178
WBGene00018106	38.4072388236666	44.7334611724074	9.7593926366628	8.93270364838561
WBGene00018107	0	0	0	0
WBGene00018109	1.47720149321795	2.98223074482716	0	2.55220104239589
WBGene00018108	2.21580223982692	2.98223074482716	0	0
WBGene00018104	16.9878171720064	22.3667305862037	4.18259684428406	6.38050260598972
WBGene00018103	3.69300373304487	3.72778843103395	2.78839789618937	0
WBGene00018102	0	0	0	0
WBGene00018101	0	2.23667305862037	0	0
WBGene00018100	0	0.74555768620679	1.39419894809469	1.27610052119794
WBGene00219271	0	0	1.39419894809469	0
WBGene00015608	0	0.74555768620679	0	0
WBGene00015609	1.47720149321795	2.98223074482716	1.39419894809469	1.27610052119794
WBGene00044417	1.47720149321795	0.74555768620679	1.39419894809469	0
WBGene00015613	0.738600746608973	2.98223074482716	2.78839789618937	2.55220104239589
WBGene00015610	1.47720149321795	1.49111537241358	2.78839789618937	2.55220104239589
WBGene00015607	1.47720149321795	5.21890380344753	1.39419894809469	1.27610052119794
WBGene00006088	0	0	1.39419894809469	0
WBGene00015606	0	1.49111537241358	0	0
WBGene00006089	0	1.49111537241358	0	1.27610052119794
WBGene00015611	0.738600746608973	0	2.78839789618937	2.55220104239589
WBGene00020362	1.47720149321795	4.47334611724074	2.78839789618937	0
WBGene00020363	31.0212313575769	41.7512304275802	8.36519368856812	5.10440208479178
WBGene00219728	548.780354730467	488.340284465448	655.273505604502	584.454038708659
WBGene00170391	0	0	0	0
WBGene00020361	0	0	1.39419894809469	0
WBGene00020360	0.738600746608973	2.23667305862037	0	0
WBGene00020359	0.738600746608973	0	1.39419894809469	0
WBGene00020358	0	0	0	0
WBGene00020364	0	0.74555768620679	2.78839789618937	0
WBGene00020357	0	0.74555768620679	0	0
WBGene00016884	0.738600746608973	0.74555768620679	0	1.27610052119794
WBGene00016883	0	0	0	0
WBGene00016885	2276.36750104886	2514.7660755755	1311.9412101571	1430.5086842629
WBGene00016886	4.43160447965384	0.74555768620679	6.97099474047343	2.55220104239589
WBGene00016882	48.7476492761922	59.6446148965432	1.39419894809469	7.65660312718767
WBGene00016881	0	0.74555768620679	0	1.27610052119794
WBGene00016880	39.1458395702756	33.5500958793056	13.9419894809469	6.38050260598972
WBGene00194998	3.69300373304487	7.4555768620679	2.78839789618937	0
WBGene00015830	49.4862500228012	35.7867689379259	6.97099474047343	3.82830156359383
WBGene00044359	0	0	0	0
WBGene00015829	5.17020522626281	5.21890380344753	1.39419894809469	3.82830156359383
WBGene00015828	0	0	0	0
WBGene00015839	0	0.74555768620679	0	1.27610052119794
WBGene00015840	0.738600746608973	0	0	0
WBGene00015827	0	0	1.39419894809469	0
WBGene00015832	4.43160447965384	4.47334611724074	0	1.27610052119794
WBGene00015833	0	0.74555768620679	0	0
WBGene00015834	2.95440298643589	1.49111537241358	2.78839789618937	1.27610052119794
WBGene00015835	4.43160447965384	4.47334611724074	2.78839789618937	2.55220104239589
WBGene00015836	10.3404104525256	11.9289229793086	4.18259684428406	1.27610052119794
WBGene00015837	1.47720149321795	0.74555768620679	0	0
WBGene00015838	5.17020522626281	0.74555768620679	0	0
WBGene00015826	0	0	0	1.27610052119794
WBGene00015825	0	0	0	0
WBGene00016720	0.738600746608973	0.74555768620679	0	0
WBGene00016719	1.47720149321795	2.23667305862037	0	1.27610052119794
WBGene00016718	0	0	0	0
WBGene00016717	0	0	0	0
WBGene00018662	0	0	0	0
WBGene00018663	76.8144776473332	98.4136145792963	5.57679579237874	2.55220104239589
WBGene00018664	1387.83080287826	1458.31083422048	3619.3404692538	3562.87265518466
WBGene00018665	18.4650186652243	17.893384468963	34.8549737023671	45.939618763126
WBGene00018666	79.0302798871601	82.7569031689537	189.611056940877	199.071681306879
WBGene00018667	875.241884731633	844.716858472293	1657.70254928458	1378.18856289378
WBGene00018668	102.665503778647	111.088095244812	313.694763321304	293.503119875527
WBGene00018661	43.5774440499294	41.0056727413735	419.6538833765	461.948388673656
WBGene00018660	42.8388433033205	59.6446148965432	238.408020124191	265.428908409172
WBGene00018659	84.200485113423	95.4313838344691	299.752773840357	279.46601414235
WBGene00018658	302.826306109679	337.737631851676	1251.99065538903	1328.42064256706
WBGene00018669	25.1124253847051	26.8400767034444	30.6723768580831	20.4176083391671
WBGene00018670	0.738600746608973	0.74555768620679	1.39419894809469	1.27610052119794
WBGene00018671	19.9422201584423	21.6211728999969	0	2.55220104239589
WBGene00169071	0	0.74555768620679	0	0
WBGene00235352	0	1.49111537241358	2.78839789618937	0
WBGene00022688	0	0.74555768620679	0	0
WBGene00235354	0.738600746608973	2.23667305862037	0	0
WBGene00165213	0	0	0	0
WBGene00022689	0	0.74555768620679	0	0
WBGene00235355	190.558992625115	176.697171631009	131.0547011209	139.094956810576
WBGene00022685	163.969365747192	150.602652613772	32.0665758061778	28.0742114663548
WBGene00022690	0	0	0	1.27610052119794
WBGene00022691	11.8176119457436	15.6567114103426	18.1245863252309	15.3132062543753
WBGene00022692	11.8176119457436	13.4200383517222	6.97099474047343	3.82830156359383
WBGene00022693	4.43160447965384	2.98223074482716	6.97099474047343	3.82830156359383
WBGene00021194	7.38600746608973	8.20113454827469	9.7593926366628	1.27610052119794
WBGene00021193	90.1092910862947	95.4313838344691	15.3361884290415	16.5893067755733
WBGene00219748	1.47720149321795	7.4555768620679	8.36519368856812	5.10440208479178
WBGene00016556	2.95440298643589	3.72778843103395	1.39419894809469	0
WBGene00016555	4.43160447965384	4.47334611724074	0	2.55220104239589
WBGene00016554	0	0.74555768620679	0	0
WBGene00016557	0	0	0	0
WBGene00019136	0.738600746608973	0	0	0
WBGene00019135	2.95440298643589	0.74555768620679	1.39419894809469	2.55220104239589
WBGene00019137	0.738600746608973	0.74555768620679	0	0
WBGene00019134	31.7598321041859	32.058980506892	4.18259684428406	7.65660312718767
WBGene00019133	235.613638168262	243.051805703414	57.1621568718821	53.5962218903137
WBGene00000864	128.516529909961	99.1591722655031	64.1331516123556	43.3874177207301
WBGene00019138	131.470932896397	161.040460220667	163.121276927078	150.579861501357
WBGene00019139	277.713880724974	288.530824562028	941.084289963913	988.977903928407
WBGene00019140	26.589626877923	29.8223074482716	39.0375705466512	49.7679203267198
WBGene00019141	125.562126923525	143.147075751704	320.665758061778	266.70500893037
WBGene00019142	81.984682873596	94.6858261482624	125.477905328522	128.886152640992
WBGene00206415	5825.34408850497	6071.8217964681	5872.36596937482	5542.10456356267
WBGene00195038	0	0	0	1.27610052119794
WBGene00019132	42.1002425567115	46.224576544821	276.051391722748	282.018215184746
WBGene00015012	5448.6577077344	5505.19795495094	5700.87949875917	5665.88631411887
WBGene00015013	35.4528358372307	34.2956535655123	65.5273505604502	74.0138302294808
WBGene00015014	971.2599817908	966.242761324	2492.8277191933	2345.47275796182
WBGene00015015	429.127033779814	463.736880820623	331.819349646535	327.957833947872
WBGene00015016	460.886865883999	457.772419330969	1132.08954585289	990.254004449605
WBGene00017209	1.47720149321795	0.74555768620679	0	2.55220104239589
WBGene00017208	3.69300373304487	1.49111537241358	0	0
